FALSE,🔗Dashboard,,,,MONTH:,1,
,JANUARY,,,,,2023,01/01/2023
,Quick Links,,,Quick Data,,,
,,,,,,,
,,,,,,,
,🔗Income,,,Planned Income,,"€ 0,00",
,,,,Actual Income,,"€ 0,00",
,🔗Expenses,,,Difference,,"€ 0,00",
,,,,,,,
,🔗Savings / Investments,,,,Days Until Next Income,No Income,
,,,,,Next Income Amount,N/A,
,🔗Monthly Transactions,,,,,,
,,,,Planned Expenses,,"€ 0,00",
,,Income,"€ 0,00",Actual Expenses,,"€ 0,00",
,,Debt,"€ 0,00",Difference,,"€ 0,00",
,,Expenses,"€ 0,00",,,,
,,Saved/Invested,"€ 0,00",Net Planned Savings & Investments ,,"€ 0,00",
,,,,Net Actual Savings & Investments,,"€ 0,00",
,,,,,Difference,"€ 0,00",
,,,,,,,
,,,,,Borrowed This Month,"€ 0,00",
,,,,,,,
,Business Income,,,,"€ 0,00",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Income Category,,Date,Planned,Actual,Difference,
,#,Income Source,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,Sales Income,,N/A,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Investor Income,,N/A,"€ 0,00","€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Extras,,N/A,"€ 0,00","€ 0,00","€ 0,00",
,,Leftover,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Borrowed,,N/A,"€ 0,00","€ 0,00","€ 0,00",
,,Family / Friend Loan,,,"€ 0,00","€ 0,00",
,,Institutional Loan,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,,,
,Business Expenses,,,,"€ 0,00",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Expense Category,,Date,Planned,Actual,Difference,
,#,Expense Source,DD/MM/YYYY,"€ 0,00","€ 0,00","€ 0,00",
,Advertising,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Labor & Benefit Programs,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Office,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Maintenance,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Legal & Other Professional,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Service & Membership Fees,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,Account / Card Fees,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Travel,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,Plane Tickets & Airport Fees,,,"€ 0,00","€ 0,00",
,,Train & Bus Tickets & Fees,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,,,,,"€ 0,00","€ 0,00",
,Debt,,N/A,"€ 0,00","€ 0,00","€ 0,00","€ 0,00"
,,Debt Interest Payment / Debt Fee,,,"€ 0,00","€ 0,00",
,,Debt Principle Payment,,,"€ 0,00","€ 0,00",
,Taxes & State Fees,,N/A,"€ 0,00","€ 0,00","€ 0,00",
,,Income Taxes,,,"€ 0,00","€ 0,00",
,,Duty Fees,,,"€ 0,00","€ 0,00",
,,Registration Fees,,,"€ 0,00","€ 0,00",
,,Licenses & Permits,,,"€ 0,00","€ 0,00",
,Unexpected,,N/A,N/A,"€ 0,00",N/A,
